Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
117,11,117-11,Leaf,,,,,-0.0060684341,5.55115271,
117,12,117-12,Leaf,,,,,0.00968270935,5.02536917,
117,13,117-13,Leaf,,,,,0.0130384034,6.62628031,
117,14,117-14,Leaf,,,,,-0.000152402514,1973.61768,
118,0,118-0,f2,-0.0799999982,118-1,118-2,118-2,3.46810389,2025.28296,
118,1,118-1,f1,7.11666679,118-3,118-4,118-4,0.481160402,12.4490805,
118,2,118-2,f2,-0.0299999993,118-5,118-6,118-6,2.16444421,2012.83386,
118,3,118-3,Leaf,,,,,0.00825714227,7.04333258,
118,4,118-4,Leaf,,,,,0.0217702482,5.40574789,
118,5,118-5,f1,9.01666641,118-7,118-8,118-8,1.43828917,35.8847733,
118,6,118-6,f1,12.5,118-9,118-10,118-10,2.08940887,1976.9491,
118,7,118-7,f5,0.189999998,118-11,118-12,118-12,0.866378307,16.2925301,
118,8,118-8,f1,14.0,118-13,118-14,118-14,1.45353448,19.5922432,
118,9,118-9,f1,11.5,118-15,118-16,118-16,6.2896843,1469.79749,
118,10,118-10,f1,12.6166668,118-17,118-18,118-18,7.42687845,507.151611,
118,11,118-11,Leaf,,,,,-0.0215382464,6.36541367,
118,12,118-12,Leaf,,,,,-0.00683032768,9.92711639,
118,13,118-13,Leaf,,,,,0.0034296317,14.4927073,
118,14,118-14,Leaf,,,,,-0.013874135,5.09953594,
118,15,118-15,Leaf,,,,,-1.22685142e-05,1286.85461,
118,16,118-16,Leaf,,,,,0.00591841992,182.942932,
118,17,118-17,Leaf,,,,,-0.0186351351,20.7956543,
118,18,118-18,Leaf,,,,,-0.000732662855,486.355957,
119,0,119-0,f1,8.73333359,119-1,119-2,119-2,2.34246111,2018.31177,
119,1,119-1,f1,8.60000038,119-3,119-4,119-4,7.16138315,863.24231,
119,2,119-2,f1,8.85000038,119-5,119-6,119-6,3.4219985,1155.06946,
119,3,119-3,f2,0.00999999978,119-7,119-8,119-8,6.53191662,846.04657,
119,4,119-4,f5,0.210000008,119-9,119-10,119-10,0.21434927,17.1956863,
119,5,119-5,f3,0.00999999978,119-11,119-12,119-12,1.44006467,14.8775549,
119,6,119-6,f1,11.1000004,119-13,119-14,119-14,1.57496285,1140.19189,
119,7,119-7,f1,5.91666651,119-15,119-16,119-16,2.6456182,633.635559,
119,8,119-8,f1,2.04999995,119-17,119-18,119-18,2.89724874,212.411057,
119,9,119-9,Leaf,,,,,0.0228164382,11.2344923,
119,10,119-10,Leaf,,,,,0.0115511715,5.96119308,
119,11,119-11,Leaf,,,,,-0.024542911,6.41099501,
119,12,119-12,Leaf,,,,,-0.00554053113,8.46656036,
119,13,119-13,f5,0.339999974,119-19,119-20,119-20,2.70564842,360.857208,
119,14,119-14,f1,11.1999998,119-21,119-22,119-22,6.66005278,779.334717,
119,15,119-15,Leaf,,,,,-0.00236385106,381.579895,
119,16,119-16,Leaf,,,,,0.00159051397,252.055649,
119,17,119-17,Leaf,,,,,-0.0042289081,24.7907829,
119,18,119-18,Leaf,,,,,0.00654831482,187.62027,
119,19,119-19,Leaf,,,,,-0.00322795799,325.475586,
119,20,119-20,Leaf,,,,,0.00540693384,35.3816032,
119,21,119-21,Leaf,,,,,0.0174111426,18.3414268,
119,22,119-22,Leaf,,,,,-0.000415059592,760.993286,
120,0,120-0,f0,-1.08031929,120-1,120-2,120-2,19.2769089,2030.83203,
120,1,120-1,f0,-1.75068605,120-3,120-4,120-4,2.30817795,90.0793457,
120,2,120-2,f0,1.0803194,120-5,120-6,120-6,14.194396,1940.75269,
120,3,120-3,Leaf,,,,,-0.0241442528,16.3287525,
120,4,120-4,f1,1.45000005,120-7,120-8,120-8,1.02313232,73.7505951,
120,5,120-5,f0,0.125661373,120-9,120-10,120-10,6.42678881,1805.86707,
120,6,120-6,f2,0.0199999996,120-11,120-12,120-12,3.89494228,134.885651,
120,7,120-7,Leaf,,,,,0.00108782167,5.28604507,
120,8,120-8,f3,0.00999999978,120-13,120-14,120-14,0.827378273,68.4645462,
120,9,120-9,f1,0.966666639,120-15,120-16,120-16,3.50452185,1087.91602,
120,10,120-10,f1,0.966666639,120-17,120-18,120-18,2.24133134,717.95105,
120,11,120-11,f0,2.3263483,120-19,120-20,120-20,2.59655952,122.585464,
120,12,120-12,f1,3.88333344,120-21,120-22,120-22,0.965914249,12.3001871,
120,13,120-13,Leaf,,,,,-0.00893358421,36.9806595,
120,14,120-14,Leaf,,,,,-0.0160888471,31.4838905,
120,15,120-15,Leaf,,,,,-0.0235902537,5.74255419,
120,16,120-16,Leaf,,,,,-0.0018807184,1082.17346,
120,17,120-17,Leaf,,,,,0.0192228686,5.47158241,
120,18,120-18,Leaf,,,,,0.00147615524,712.479492,
120,19,120-19,Leaf,,,,,0.00965730008,112.973549,
120,20,120-20,Leaf,,,,,0.0255731232,9.61191559,
120,21,120-21,Leaf,,,,,-0.0148243681,5.22767305,
120,22,120-22,Leaf,,,,,0.00122089044,7.07251358,
121,0,121-0,f0,-1.03643334,121-1,121-2,121-2,15.3347206,2022.87524,
121,1,121-1,f0,-1.75068605,121-3,121-4,121-4,2.66579533,96.3493729,
121,2,121-2,f0,1.22652805,121-5,121-6,121-6,10.4216204,1926.52588,
121,3,121-3,Leaf,,,,,-0.0223936699,16.3453197,
121,4,121-4,f2,-0.00999999978,121-7,121-8,121-8,1.35597944,80.0040512,
121,5,121-5,f0,-0.176374152,121-9,121-10,121-10,3.40804386,1823.40869,
121,6,121-6,f0,1.88079405,121-11,121-12,121-12,3.12156773,103.117188,
121,7,121-7,Leaf,,,,,0.00214240351,8.33864594,
121,8,121-8,f3,0.00999999978,121-13,121-14,121-14,1.73697948,71.6654053,
121,9,121-9,f1,10.4666662,121-15,121-16,121-16,2.3951509,627.449768,
121,10,121-10,f1,2.13333344,121-17,121-18,121-18,1.58848405,1195.95886,
121,11,121-11,f1,9.66666698,121-19,121-20,121-20,1.89780188,84.1466675,
121,12,121-12,Leaf,,,,,0.0206505004,18.9705143,
121,13,121-13,Leaf,,,,,-0.00625550142,42.1520615,
121,14,121-14,Leaf,,,,,-0.0159213934,29.5133457,
121,15,121-15,Leaf,,,,,-0.00324356672,362.115997,
121,16,121-16,Leaf,,,,,0.000504518859,265.333801,
121,17,121-17,Leaf,,,,,0.00671980251,42.1629295,
121,18,121-18,Leaf,,,,,0.000855740393,1153.7959,
121,19,121-19,Leaf,,,,,0.00561052281,76.0590744,
