Complexity,Loss,Equation
1,0.24999762,"0.50118077"
5,0.17231648,"(x0 * 0.2827335) + 0.5032812"
7,0.17224848,"(x2 - (x0 - -1.7724615)) * -0.2824528"
9,0.17224774,"(x2 - ((x0 - -1.7882357) * 0.75553167)) * -0.37181735"
13,0.16973823,"0.5032803 - ((-0.53474194 - (x5 * (-0.604748 - (x2 * -0.7008895)))) * x0)"
