market_side,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
NO-leaning,1177664,LightGBM,0.4928873164877402,0.4976872239097251,0.5012500062922961,0.504703758567597,0.49875917148010984,0.497617854362116,0.4948982795620379,0.4928873164877402,0.49473458894615824,0.5034479297476884
YES-leaning,1209319,LightGBM,0.5039917995714526,0.5080303573681582,0.510665432237759,0.5136301531558201,0.5091735897704878,0.5082679192664231,0.5059568334075346,0.5039917995714526,0.5057568697174593,0.5124745972408633
