trades,yes_trades,no_trades,wins,win_rate,gross_pnl_dollars,total_fees_dollars,net_pnl_dollars,avg_pnl_per_trade_dollars,turnover_dollars,ending_equity_dollars,return_pct,peak_equity_dollars,max_drawdown_dollars,max_drawdown_pct,avg_hold_minutes,skipped_due_capital,skipped_due_open_ticker,model,log_loss
679654,399325,280329,402624,0.5923955424377698,32295.551582784854,12039.020000175926,20256.53158277539,0.02980418210262191,370328.44841748726,30256.53158277547,202.56531582775472,30256.53158277547,460.59990716713764,4.378878062579916,8.356355436828519,0,0,LightGBM,0.49783937271597745
471665,321161,150504,268661,0.569601306011682,17197.663627543454,8670.570000099953,8527.093627548078,0.018078707615676547,251463.33637236984,18527.093627530354,85.27093627530353,18547.850428244947,1100.6149295524356,9.498333438250969,8.342480991250472,0,0,CatBoost,0.4996848853605073
417546,282950,134596,242781,0.5814473135894009,14428.362866075271,7509.4300000758885,6918.932866075092,0.01657046856172755,228352.63713385237,16918.932866055853,69.18932866055853,16924.674166491273,1020.0312955700701,9.211899956559748,8.246004006984128,0,0,XGBoost,0.4998608215240101
133868,76069,57799,89177,0.66615621358353,1522.604785299482,2603.029999998164,-1080.4252147005213,-0.008070825101596507,87654.39521470501,8919.574785289484,-10.804252147105164,10002.83940018195,1644.0628199500588,16.435961372329473,9.098226530445437,0,0,Machine Learning (Logistic Regression),0.5023082664911067
356234,193387,162847,96543,0.271010066417018,-3886.9659923365334,6113.020000048262,-9999.985992340538,-0.028071396869306518,100429.96599228193,0.014007661318625339,-99.99985992338681,10003.921800052372,10003.907792391054,99.99985997830052,8.238316186133526,1060515,0,PySR (Symbolic Regression),0.507320377674857
