trades,yes_trades,no_trades,wins,losses,win_rate,gross_pnl_dollars,total_fees_dollars,net_pnl_dollars,avg_pnl_per_trade_dollars,turnover_dollars,ending_equity_dollars,return_pct,peak_equity_dollars,max_drawdown_dollars,max_drawdown_pct,avg_hold_minutes,skipped_due_capital,skipped_due_open_ticker,model,log_loss
73016,38054,34962,45137,27879,0.6181795770789964,8438.579299910556,1321.4599999990712,7117.119299911268,0.09747342089283538,36698.42070008615,8117.119299911311,711.7119299911311,8117.119299911311,51.101199683129835,2.367684071833123,6.406324542766591,0,0,LightGBM,0.4978396166360629
32610,14680,17930,20682,11928,0.6342226310947562,3930.96821064992,584.9399999997455,3346.02821064999,0.10260742749616651,16751.031789349265,4346.028210649962,334.6028210649962,4346.028210649962,53.24439966649288,1.804505057948351,5.325505101010958,0,0,CatBoost,0.49968500060044546
26042,9765,16277,16734,9308,0.6425773750095999,3162.6401074814034,444.38999999986385,2718.2501074814454,0.10437946807009621,13571.359892517838,3718.250107481322,271.82501074813223,3718.250107481322,52.89040012515079,2.0454442529036587,4.72176417882338,0,0,XGBoost,0.49986062226793215
9388,3765,5623,5297,4091,0.5642309331060928,828.1237002644334,178.06000000001563,650.0637002644283,0.0692441095296579,4468.876299735626,1650.06370026439,65.00637002643901,1651.768600319173,11.767900081874359,1.096406398954544,6.591038629003305,0,0,Machine Learning (Logistic Regression),0.5023069330670027
31531,31531,0,6258,25273,0.19847134565982683,-442.13801459560733,557.7799999997649,-999.9180145957146,-0.03171222018317575,6700.138014595351,0.08198540429268969,-99.99180145957072,1003.2668999524413,1003.1849145481486,99.99182815616696,7.732079457563455,223800,0,PySR (Symbolic Regression),0.5073270988367381
