trades,yes_trades,no_trades,wins,win_rate,gross_pnl_dollars,total_fees_dollars,net_pnl_dollars,avg_pnl_per_trade_dollars,turnover_dollars,ending_equity_dollars,return_pct,peak_equity_dollars,max_drawdown_dollars,max_drawdown_pct,avg_hold_minutes,skipped_due_capital,skipped_due_open_ticker,model,log_loss
8490,5906,2584,4247,0.5002355712603063,275.7700174190104,0.0,275.7700174190104,0.032481745279035384,3971.2299825809896,10275.77001741901,2.757700174190103,10276.6900174357,20.970000000670552,0.20947355908187476,13.975389741894345,0,2364785,LightGBM,0.49784395171155177
8439,6350,2089,4086,0.48418059011731246,262.79001377150416,0.0,262.79001377150416,0.031139947123060098,3823.209986228496,10262.790013771504,2.6279001377150335,10262.790013771504,14.169999830424786,0.1414961024200786,13.800838281666442,0,2347283,CatBoost,0.49968911280509326
8441,6423,2018,4033,0.4777869920625518,236.1400204114616,0.0,236.1400204114616,0.0279753607879945,3796.8599795885384,10236.140020411462,2.3614002041146165,10237.080020409077,17.85999808087945,0.17463011412313081,13.736025619351947,0,2341518,XGBoost,0.4998663261150932
8533,4650,3883,3425,0.40138286651822336,211.67999676615,0.0,211.67999676615,0.024807218653011835,3213.32000323385,10211.67999676615,2.116799967661498,10211.67999676615,25.050000064074993,0.2501525387569465,13.829172260150798,0,2319851,PySR (Symbolic Regression),0.5073363404042242
8455,4203,4252,2285,0.270254287403903,185.61005341634154,0.0,185.61005341634154,0.021952697033275168,2099.3899465836585,10185.610053416342,1.8561005341634074,10188.440048534423,15.509998388588428,0.1548885609883873,11.148034810630774,0,1795775,Student-T df=3,0.5086564488913192
8340,5934,2406,4528,0.5429256594724221,145.21000464819372,0.0,145.21000464819372,0.017411271540550805,4382.789995351806,10145.210004648194,1.45210004648193,10148.640003828332,22.699999399483204,0.22367528448068089,13.642141635661517,0,2302869,Machine Learning (Logistic Regression),0.5023180579294231
8321,4121,4200,1475,0.17726234827544765,107.22998703457415,0.0,107.22998703457415,0.012886670716809776,1367.7700129654258,10107.229987034574,1.0722998703457387,10118.589987413958,15.870000459253788,0.15684003877016206,8.787636651418142,0,1353375,Student-T df=5,0.505409984512891
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0,0,Standard Gaussian,0.5022304199797879
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0,0,Momentum-Adjusted Gaussian,0.5033113873130687
