trades,yes_trades,no_trades,wins,win_rate,gross_pnl_dollars,total_fees_dollars,net_pnl_dollars,avg_pnl_per_trade_dollars,turnover_dollars,ending_equity_dollars,return_pct,peak_equity_dollars,max_drawdown_dollars,max_drawdown_pct,avg_hold_minutes,skipped_due_capital,skipped_due_open_ticker,model,log_loss
8176,5656,2520,4135,0.5057485322896281,446.7123124620009,157.66000000000702,289.0523124619948,0.03535375641658449,3688.2876875380844,10289.052312462052,2.8905231246205254,10289.052312462052,14.374699757991038,0.1412855545200405,13.137034607927626,0,2280575,LightGBM,0.4978398259779792
7017,4177,2840,3137,0.447057146928887,376.417507991647,129.43999999999366,246.97750799164257,0.03519702265806507,2760.5824920083896,10246.97750799198,2.4697750799197893,10246.97750799198,14.461500256205909,0.1445071814170093,11.21969735133962,0,1698488,XGBoost,0.49986672067301874
7357,4644,2713,3283,0.4462416745956232,357.3128037731588,138.1299999999977,219.18280377315435,0.029792415899572426,2925.687196226875,10219.18280377332,2.19182803773319,10219.18280377332,16.228200194034798,0.1621040165925374,11.680522622049311,0,1871207,CatBoost,0.49969115440273965
5541,2838,2703,3135,0.5657823497563617,245.06680582599702,108.28999999999597,136.77680582599865,0.02468449843457835,2889.9331941740265,10136.77680582605,1.3677680582604879,10138.72370574839,26.17599958761639,0.26154933880416337,10.874250881925656,0,1078442,Machine Learning (Logistic Regression),0.5023207129290763
8187,4034,4153,1024,0.1250763405398803,100.70850810411982,81.87000000000498,18.838508104142857,0.0023010270067354167,923.2914918957565,10018.83850810153,0.1883850810152854,10052.907002646312,35.693194784347725,0.35505346637496893,7.1311102617340545,0,1015448,Student-T df=3,0.5086651866579928
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0,0,Standard Gaussian,0.5022419091090413
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0,0,Momentum-Adjusted Gaussian,0.5033214938469689
0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,0.0,10000.0,0.0,0.0,0.0,0,0,Student-T df=5,0.5054195829555499
8468,4485,3983,2849,0.33644307982994803,148.13882757461687,166.8500000000115,-18.711172425375704,-0.002209633021418954,2700.8611724253947,9981.288827573917,-0.18711172426083555,10006.606125012113,46.73729516577441,0.4672086530608682,12.724891483256636,0,2103564,PySR (Symbolic Regression),0.5073462561579374
