market_side,probability_bucket,probability_bucket_start_cents,probability_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
NO-leaning,0-5c,0,5,128711,LightGBM,0.0668617890416406,0.07406308106034404,0.09057478062916476,0.10543333734771135,0.07598843655041697,0.07540000844525317,0.06822101326115235,0.0668617890416406,0.06883071639523329,0.07577599756149671
NO-leaning,5-10c,5,10,106359,LightGBM,0.20437963603202752,0.2117131588443023,0.22328428908963416,0.23355815636619012,0.21405132946905833,0.21045043514475287,0.20686738369091517,0.20437963603202752,0.20728150240420667,0.21637178432942722
NO-leaning,10-15c,10,15,96639,LightGBM,0.3339745314057728,0.33940675608502535,0.3453103981145028,0.35111617865963674,0.34082128842937515,0.33811255971300297,0.3360634042009679,0.3339745314057728,0.33613829689794145,0.35431828260689685
NO-leaning,15-20c,15,20,96454,LightGBM,0.4347775643684313,0.4403216875372891,0.4432781835576558,0.44644787874876546,0.44141806587651844,0.43990005463308646,0.43726465851814783,0.4347775643684313,0.4371846662141576,0.45585207009730705
NO-leaning,20-25c,20,25,97649,LightGBM,0.5041501857919078,0.5095157154883858,0.5116563859788116,0.5137472624498994,0.5103260729018638,0.508713106441923,0.5062995058346467,0.5041501857919078,0.50612907452543,0.5247647083314484
NO-leaning,25-30c,25,30,102724,LightGBM,0.5783213084210405,0.5843220607174767,0.5846644196367932,0.5853151460344732,0.5853308621796335,0.5848240732937752,0.5809505797638996,0.5783213084210405,0.5803593159528659,0.5922289112549244
NO-leaning,30-35c,30,35,116671,LightGBM,0.6315526969426394,0.6359078171582859,0.6355639438228537,0.6355764777861185,0.6364837676491621,0.6368512821801487,0.6335563939806023,0.6315526969426394,0.6331549301729024,0.6387656536963547
NO-leaning,35-40c,35,40,130738,LightGBM,0.6571659906099141,0.6600903256916086,0.6601036608845922,0.6602113597221247,0.6606045815600133,0.6602551118789418,0.6589788443389083,0.6571659906099141,0.6586753119737482,0.6628873352334987
NO-leaning,40-45c,40,45,143392,LightGBM,0.6803092206943869,0.6832725192169352,0.6831305261821303,0.6830766418694075,0.6839518777291969,0.683181027204494,0.6820755342551622,0.6803092206943869,0.6815143611199926,0.6835581398361971
NO-leaning,45-50c,45,50,157898,LightGBM,0.6890627090167617,0.6922808546864054,0.6922205877404598,0.692188382864066,0.6928038029202196,0.6921845516560563,0.6908524394659992,0.6890627090167617,0.6903701499840038,0.6920915638616861
YES-leaning,50-55c,50,55,161678,LightGBM,0.6886822105488206,0.6914412343374841,0.6914715031702112,0.6914931139635278,0.6920455315381748,0.6916010236335505,0.6902739059677458,0.6886822105488206,0.6900421724013015,0.6915652128238031
YES-leaning,55-60c,55,60,148096,LightGBM,0.6760455915326603,0.6789787811574649,0.6792123621768974,0.6793830248468075,0.6796637431116407,0.6785935144228467,0.6777604230540973,0.6760455915326603,0.6772774457251395,0.6805811400227725
YES-leaning,60-65c,60,65,133643,LightGBM,0.6565316880362325,0.6597671501859372,0.6600793447761407,0.6603537654079484,0.660362375608763,0.6597062885917968,0.6581107909575135,0.6565316880362325,0.6577004140944988,0.6628074758165684
YES-leaning,65-70c,65,70,117606,LightGBM,0.6274270601368582,0.6309232357079745,0.631307869181177,0.6317337821561212,0.6315667371592297,0.6309693639498343,0.6295576715310293,0.6274270601368582,0.6291827892591486,0.6357029183671405
YES-leaning,70-75c,70,75,104484,LightGBM,0.5877307878335077,0.5910649819375918,0.5916058603904936,0.5923174792937708,0.5916269397221379,0.5913973992799916,0.5898056564073411,0.5877307878335077,0.5894943328480036,0.5978812886662752
YES-leaning,75-80c,75,80,95238,LightGBM,0.5439463131175548,0.5478283808952822,0.5479616000914685,0.5487690962414957,0.5487177442891341,0.5487476574474702,0.5461923459569352,0.5439463131175548,0.5458853147216653,0.5541977045110859
YES-leaning,80-85c,80,85,93841,LightGBM,0.46303485129067945,0.4681531143355347,0.4698827320950316,0.4721918110996984,0.4689487892213353,0.4682208140375933,0.4655108351618674,0.46303485129067945,0.4651698125459621,0.47871775979904413
YES-leaning,85-90c,85,90,95366,LightGBM,0.3850371630210938,0.3901403231860676,0.39230981367505796,0.39583772104503534,0.39164339906215556,0.38981586713985056,0.3875166880417638,0.3850371630210938,0.38739599604539,0.39761088677822276
YES-leaning,90-95c,90,95,104122,LightGBM,0.2638457111392901,0.26953242889454343,0.2756586151335008,0.2828492309665483,0.27196233310018,0.26891560863786274,0.26635080653297366,0.2638457111392901,0.26637184814720555,0.27275994666958087
YES-leaning,95-100c,95,100,155674,LightGBM,0.09822730271400676,0.10300270851518836,0.11606560262715179,0.1292163436007933,0.10576674702369367,0.10507378259225955,0.09965610887481528,0.09822730271400676,0.10031570416807832,0.10858169180640392
