tte_bucket,probability_bucket,probability_bucket_start_cents,probability_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,0-5c,0,5,46,LightGBM,0.528071739472838,1.8066717159784382,1.4190608643064326,1.2792872733358585,1.8237085453400514,1.6670673237057172,0.6082713012443857,0.528071739472838,0.5563945563439112,2.1078224413497266
14,5-10c,5,10,316,LightGBM,0.21625415143605417,0.27699138077419755,0.28004212520202226,0.28606087264150176,0.27997786174118866,0.27652522285941655,0.255302407871625,0.21625415143605417,0.24700334281597336,0.28290020793123594
14,10-15c,10,15,767,LightGBM,0.3689112031122917,0.4013357710925769,0.40057768530964816,0.4027782044209556,0.4029770326297472,0.4014458220363176,0.39348157832647807,0.3689112031122917,0.3959834709603462,0.40433496625443444
14,15-20c,15,20,1538,LightGBM,0.3928348045443337,0.4191318663596712,0.4240764911030131,0.42837063938479303,0.41986042382675176,0.41428415131597235,0.4022073230395962,0.3928348045443337,0.40337757907700145,0.4416460433303051
14,20-25c,20,25,2951,LightGBM,0.47333632335745257,0.4899806571052612,0.4938242877839048,0.4968948072928945,0.49129784379943864,0.4870725905720316,0.48354764608679285,0.47333632335745257,0.482730835405332,0.5108805571344182
14,25-30c,25,30,5479,LightGBM,0.59310315436727,0.5981097660550468,0.5976708796468903,0.5978374434434643,0.5989723321147592,0.5995700817226428,0.5966009066100335,0.59310315436727,0.595992519558303,0.6025618331437755
14,30-35c,30,35,10528,LightGBM,0.6210556898515271,0.6245567663831149,0.6249612805045947,0.6254265254126391,0.6250525054125052,0.6243534718110171,0.6231200065620651,0.6210556898515271,0.6228801781530322,0.6311114782669976
14,35-40c,35,40,17762,LightGBM,0.655445510524553,0.6575082364974085,0.6576896312950241,0.6578994230189482,0.6580333048214649,0.6574791905037314,0.6569696385073701,0.655445510524553,0.6568284835805153,0.6612314508825456
14,40-45c,40,45,25723,LightGBM,0.6819895764980888,0.6833549183117423,0.68322215562012,0.6831732763546132,0.6841745649071057,0.6830291631781001,0.682816030553053,0.6819895764980888,0.6827983284901545,0.6836477110361544
14,45-50c,45,50,32313,LightGBM,0.691343461320162,0.6927373761647138,0.6926556618870098,0.6926100510647594,0.6933103943343124,0.6922268709222685,0.6922062038820673,0.691343461320162,0.6920963708853911,0.692338563652809
14,50-55c,50,55,32472,LightGBM,0.6900655361912755,0.6915521440140497,0.6915770736063199,0.6915953521329928,0.6923335659344692,0.6916356744645189,0.6910866938375243,0.6900655361912755,0.6909475825583405,0.6916395340646162
