market_side,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
NO-leaning,1970,Student-T df=5,0.5196483440956979,0.5199217805219658,0.5196483440956979,0.521466054607248,0.5202430518766419,0.5209124750250972,0.524252057962452,0.5254628766891639,0.5223565293174496,0.5257279967799104
YES-leaning,2030,XGBoost,0.5110120268183638,0.5128101074452269,0.5143414304831679,0.5168012457874416,0.5155911612608421,0.5134142640001513,0.5110120268183638,0.5132976673818026,0.5125567400092912,0.5145165975682343
