tte_bucket,distance_bucket,distance_bucket_start_cents,distance_bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
14,0-5c,0,5,97,PySR (Symbolic Regression),0.6927286514524544,0.6930267444039864,0.6929619148728924,0.6929251918794727,0.696869201963016,0.6936585099219503,0.6988181099555555,0.7072314486981925,0.6965665430852361,0.6927286514524544
14,5-10c,5,10,93,Standard Gaussian,0.6767110276094098,0.6767110276094098,0.6770691952173585,0.6773168739338383,0.6792908969027142,0.6771272108563934,0.6813453931664524,0.6873505769145973,0.6787709879167879,0.6792502272942016
14,10-15c,10,15,59,CatBoost,0.6323413629110204,0.6446378286296749,0.645748053450284,0.6465171587395507,0.6433264691786649,0.638744771611965,0.6398308296479034,0.6401364713568954,0.6323413629110204,0.6520966949828494
14,15-20c,15,20,48,Machine Learning (Logistic Regression),0.5339689207471741,0.5410280639232595,0.5464648321539527,0.5500062136746134,0.542403477298171,0.5339689207471741,0.5383010816005198,0.5471611723606279,0.545876993878716,0.570521976491786
14,20-25c,20,25,23,CatBoost,0.6085363017332373,0.6143877637754119,0.6133342756575185,0.6130855453214883,0.6180348349273322,0.6175736848691624,0.6090325315433397,0.6199010254043287,0.6085363017332373,0.6147047221403447
14,25-30c,25,30,10,Momentum-Adjusted Gaussian,0.4939295856185987,0.5096611623333609,0.5119350539757541,0.5140878234180455,0.4939295856185987,0.5027334076666234,0.5251158324045581,0.531886725030142,0.525432669335475,0.5252048076247657
14,30-35c,30,35,1,Machine Learning (Logistic Regression),0.20942098001854925,0.22314353641304868,0.24742842961236328,0.26253157604535,0.22314353641304868,0.20942098001854925,0.268897000249189,0.27797528464494387,0.2311057781628174,0.29863550564221314
14,35-40c,35,40,2,Machine Learning (Logistic Regression),0.1492603826568495,0.1625189365100861,0.19085818692285797,0.20838418309973797,0.1625189365100861,0.1492603826568495,0.18456113302621308,0.1901453932685782,0.17020476094307907,0.22676578103121892
14,40-45c,40,45,1,CatBoost,0.08590879239329156,0.10536051731351088,0.13708691001649212,0.15669676206459673,0.10536051731351088,0.09907642114107298,0.1068673729995238,0.11531165315443648,0.08590879239329156,0.14219974325628862
13,0-5c,0,5,64,CatBoost,0.684779192795814,0.6867444491309748,0.68700450976648,0.6871692655614912,0.6934260286641436,0.6918360187497808,0.6941887619535193,0.6921832632377165,0.684779192795814,0.6883599186529982
13,5-10c,5,10,67,CatBoost,0.666598033486003,0.6677689389418929,0.668570115101143,0.6690936750966494,0.6763738786710978,0.6681841341575809,0.6688425334791226,0.6701992117590848,0.666598033486003,0.6727274106201444
13,10-15c,10,15,58,LightGBM,0.6539856369488215,0.6593238280130763,0.6596651885001111,0.6599566631827801,0.6594493378552202,0.6578527325406182,0.6572897721671533,0.6539856369488215,0.6548007596388751,0.6630045484168734
13,15-20c,15,20,45,PySR (Symbolic Regression),0.6968573892173354,0.7150410894321512,0.7103930622079595,0.7077402432130505,0.7159350812276819,0.7213695809020589,0.71230482152366,0.7320413296950993,0.7086999370676381,0.6968573892173354
13,20-25c,20,25,24,Machine Learning (Logistic Regression),0.5629588902775698,0.5680917536146435,0.5697388034969051,0.5711548320204409,0.5639777067160885,0.5629588902775698,0.5766575969658013,0.5785511264416611,0.5630385697751096,0.5801651737607533
13,25-30c,25,30,20,CatBoost,0.5247876813945014,0.5456754743636102,0.5467195281698131,0.547980519463306,0.5491406429813839,0.5473380693818821,0.5425418112644851,0.5332932728331701,0.5247876813945014,0.5508738961695456
13,30-35c,30,35,12,XGBoost,0.4341887212420487,0.4518698460011263,0.4555674560972018,0.45892804702042,0.4597008776408659,0.4504666592158026,0.4341887212420487,0.4405763946504653,0.44373448810689403,0.4679008771045483
13,35-40c,35,40,6,CatBoost,0.12321864681426219,0.14129898793676268,0.1709735928411589,0.18930666301457014,0.13372192576674988,0.13142701602007328,0.12761157620792712,0.1312643588286192,0.12321864681426219,0.19670062608355335
13,40-45c,40,45,4,Momentum-Adjusted Gaussian,0.08899452539916625,0.0944892519663815,0.12649158497024565,0.14635285171485968,0.08899452539916625,0.09255104893703242,0.10487149835846801,0.10886242148802282,0.09585613750738595,0.12004008153669254
12,0-5c,0,5,34,Machine Learning (Logistic Regression),0.6864422127175864,0.6898057453340305,0.6899045571235054,0.6899694533984971,0.6908830680350404,0.6864422127175864,0.6895011459032186,0.69108449515371,0.6869388621868132,0.6903512965287447
12,5-10c,5,10,57,Momentum-Adjusted Gaussian,0.6606592977719845,0.665014435616592,0.6659213582329401,0.6665124933697374,0.6606592977719845,0.6624860406403594,0.6665089177847924,0.6703168306885608,0.667852994630208,0.6707514128967105
12,10-15c,10,15,52,Student-T df=3,0.6680781787377217,0.6684081765173591,0.6681502028798081,0.6680781787377217,0.6707629003361816,0.6716635873989897,0.6862395468863411,0.6826828872480857,0.6832440744326936,0.669192988594543
