bucket_label,bucket_start_cents,bucket_end_cents,sample_size,best_model,best_log_loss,Standard Gaussian,Student-T df=5,Student-T df=3,Momentum-Adjusted Gaussian,Machine Learning (Logistic Regression),XGBoost,LightGBM,CatBoost,PySR (Symbolic Regression)
0-5c,0,5,197,CatBoost,0.11322496207888948,0.1267564682984977,0.12812762647181059,0.13770166932749175,0.12706089151676375,0.12354037119928041,0.12080130228496505,0.12206197770609885,0.11322496207888948,0.12667774321732345
5-10c,5,10,179,CatBoost,0.1898006980013818,0.19778640170376394,0.2122346377202792,0.22374507580206784,0.20297316682297065,0.19700071678565537,0.1908894299586949,0.20300895223524856,0.1898006980013818,0.19526883524650662
10-15c,10,15,171,Student-T df=3,0.4493394067398086,0.4593466984981971,0.4510126787941125,0.4493394067398086,0.4622864584047666,0.46640447964752757,0.48680623880458523,0.48796562081445133,0.48287597887008027,0.4524937238219546
15-20c,15,20,149,CatBoost,0.3232360276055291,0.3340073389417699,0.34700091094673735,0.3558153284576946,0.33690533543749374,0.324935527796552,0.32645929542871716,0.3289324770138051,0.3232360276055291,0.3706168476775603
20-25c,20,25,161,Machine Learning (Logistic Regression),0.47231079458309155,0.4768997864270424,0.4815668467748735,0.4851426812965375,0.47499319606928414,0.47231079458309155,0.4903942530962243,0.49221888606448017,0.48377287920865214,0.4980941363215681
25-30c,25,30,163,Momentum-Adjusted Gaussian,0.5829394426868815,0.5831305235601604,0.5836290459208306,0.5843667043280677,0.5829394426868815,0.5855776367751819,0.5842252924248083,0.5901767462760719,0.5856079942910779,0.5903406421616086
30-35c,30,35,204,LightGBM,0.6264280535644032,0.6320256284914322,0.6319451567208404,0.6321165903496657,0.6325303588579613,0.6337940072457693,0.6323453718973128,0.6264280535644032,0.6316082958534921,0.6352242589546899
35-40c,35,40,239,Momentum-Adjusted Gaussian,0.638775307557607,0.6421713898863298,0.6431842685997335,0.6439081295105361,0.638775307557607,0.6392552771271746,0.6404621448320663,0.6510695570929007,0.6428936621411369,0.6494258491560765
40-45c,40,45,227,LightGBM,0.6838184271031437,0.6890127374226166,0.6885719287103182,0.6883327575526224,0.6911727568323288,0.6911521207563154,0.687738104035505,0.6838184271031437,0.6875346455089398,0.6874192174900323
45-50c,45,50,266,CatBoost,0.6880437497777186,0.6885987315256896,0.6887251765244433,0.6888089748276679,0.6882609222788622,0.6887755114294932,0.6904422704881307,0.6911414668661255,0.6880437497777186,0.6894831898433322
50-55c,50,55,281,Machine Learning (Logistic Regression),0.69117476230702,0.6929583668304855,0.6929165628884306,0.6928931516756244,0.6928568181835256,0.69117476230702,0.6925417715374796,0.7006519370977364,0.6960025302779926,0.6927660534129667
55-60c,55,60,246,PySR (Symbolic Regression),0.6895802364832894,0.6909380683614083,0.6905788045666403,0.6903802599963215,0.6929552933508162,0.6935698077116937,0.6898593071226357,0.6906019676390062,0.6896023747267451,0.6895802364832894
60-65c,60,65,218,Student-T df=3,0.6677283475891715,0.6678696006853001,0.6677315268820639,0.6677283475891715,0.6717519012608313,0.6721542420219201,0.6761202583441412,0.6813101495235261,0.6783494761414606,0.6688710472761434
65-70c,65,70,198,Machine Learning (Logistic Regression),0.5718923412636994,0.5779851683196059,0.5814875774972886,0.5838253440183176,0.5755119653360316,0.5718923412636994,0.5734483528885574,0.5790926571634998,0.5753381230083555,0.5972155054817818
70-75c,70,75,178,Machine Learning (Logistic Regression),0.5677794497547971,0.5716458070987674,0.5735091935710496,0.5750159372843779,0.5721093117254388,0.5677794497547971,0.5762032876772883,0.5704349739859298,0.5758582828169241,0.5837181794727104
75-80c,75,80,162,CatBoost,0.5120098366262084,0.5186281981530672,0.5211367929312296,0.5233288013944741,0.51794953633754,0.5185096151044777,0.5179183198357052,0.5203546481039416,0.5120098366262084,0.5320413012277817
80-85c,80,85,182,XGBoost,0.46926540541726086,0.47852209127249085,0.47953409205522907,0.4814076639739365,0.4830310362004193,0.4816442250227244,0.46926540541726086,0.47422644713567047,0.48055257456048744,0.4862800977840332
85-90c,85,90,158,PySR (Symbolic Regression),0.45118693782341107,0.4579321323281777,0.4531468889598923,0.4528496603741894,0.467847692542378,0.46488743741625,0.4543059289388901,0.4681299662434636,0.4628125063792355,0.45118693782341107
90-95c,90,95,151,Standard Gaussian,0.23922404978966633,0.23922404978966633,0.2496686574242934,0.2589505507304844,0.23965394799429088,0.23986824270889268,0.24741209569720501,0.24842481980331402,0.2461478334954436,0.23948598700128845
95-100c,95,100,270,Standard Gaussian,0.10762328962083058,0.10762328962083058,0.12076319980998836,0.13363162521939767,0.10863686890689486,0.11019849450416315,0.11207231568929124,0.11416733716437805,0.11711373381616891,0.1201424345913005
