Complexity,Loss,Equation
1,0.2499972,"0.5016902"
5,0.17038749,"(x0 * 0.28696567) + 0.50031334"
7,0.17038245,"0.4966885 - ((x0 * -0.2846909) + -0.0005341415)"
11,0.17031883,"(0.48557243 - ((0.03413161 - x2) * -0.4755152)) + (x0 * 0.2867046)"
17,0.17001559,"((x1 + 1.7360616) * (((x0 * 0.30901355) + 0.5310039) + (x3 * -0.5785251))) / (x1 + 2.1369743)"
