Complexity,Loss,Equation
1,0.2807875,"0.6399652"
3,0.13611542,"x0 * x0"
5,0.06293501,"(x0 - 0.2540519) * 2.0847874"
9,0.062443286,"(x0 + (x0 - 0.26056996)) * (x0 / 0.9240547)"
