Tree,Node,ID,Feature,Split,Yes,No,Missing,Gain,Cover,Category
74,18,74-18,Leaf,,,,,-0.0201587193,110.747009,
74,19,74-19,Leaf,,,,,-0.017402418,209.294891,
74,20,74-20,Leaf,,,,,-0.00639748527,51.6652374,
74,21,74-21,Leaf,,,,,-0.0138570489,134.135391,
74,22,74-22,Leaf,,,,,-0.00745050656,1066.32263,
74,23,74-23,Leaf,,,,,-0.0034321358,1404.26196,
74,24,74-24,Leaf,,,,,-0.000415877788,3315.59668,
74,25,74-25,Leaf,,,,,0.00268778834,2484.59546,
74,26,74-26,Leaf,,,,,0.00712591549,1037.43408,
74,27,74-27,Leaf,,,,,0.0108637288,267.690399,
74,28,74-28,Leaf,,,,,0.0170159675,362.74585,
74,29,74-29,Leaf,,,,,0.0273683127,248.085922,
74,30,74-30,Leaf,,,,,0.0132987397,21.5591125,
75,0,75-0,f0,-0.706302583,75-1,75-2,75-2,407.110809,10985.8076,
75,1,75-1,f0,-1.47579098,75-3,75-4,75-4,73.9535828,1577.35229,
75,2,75-2,f0,0.9153651,75-5,75-6,75-6,261.0224,9408.45605,
75,3,75-3,f1,9.83333302,75-7,75-8,75-8,6.49816895,352.559357,
75,4,75-4,f0,-1.08031929,75-9,75-10,75-10,9.91586304,1224.79297,
75,5,75-5,f0,0.075269863,75-11,75-12,75-12,49.1047173,8208.46484,
75,6,75-6,f0,1.55477357,75-13,75-14,75-14,47.9563293,1199.99097,
75,7,75-7,f0,-1.75068605,75-15,75-16,75-16,2.50378418,338.269928,
75,8,75-8,f1,10.6166668,75-17,75-18,75-18,4.18097448,14.2894144,
75,9,75-9,f1,8.78333378,75-19,75-20,75-20,4.65062714,442.885162,
75,10,75-10,f1,2.5666666,75-21,75-22,75-22,5.70310211,781.907715,
75,11,75-11,f0,-0.358458787,75-23,75-24,75-24,10.7875824,4417.46729,
75,12,75-12,f0,0.495850354,75-25,75-26,75-26,12.4544449,3790.99756,
75,13,75-13,f0,1.22652817,75-27,75-28,75-28,5.87779999,830.241943,
75,14,75-14,f1,6.3499999,75-29,75-30,75-30,6.11099243,369.748993,
75,15,75-15,Leaf,,,,,-0.0293670967,201.20784,
75,16,75-16,Leaf,,,,,-0.0233400166,137.062088,
75,17,75-17,Leaf,,,,,0.0141435685,5.1279211,
75,18,75-18,Leaf,,,,,-0.0173656382,9.1614933,
75,19,75-19,Leaf,,,,,-0.0157288723,352.309052,
75,20,75-20,Leaf,,,,,-0.00796328858,90.5761261,
75,21,75-21,Leaf,,,,,-0.0166332535,70.5668869,
75,22,75-22,Leaf,,,,,-0.00768679893,711.340881,
75,23,75-23,Leaf,,,,,-0.00384908798,1390.94983,
75,24,75-24,Leaf,,,,,-0.000657733821,3026.51733,
75,25,75-25,Leaf,,,,,0.00175727857,2505.08154,
75,26,75-26,Leaf,,,,,0.00538952323,1285.91602,
75,27,75-27,Leaf,,,,,0.0094056651,511.651062,
75,28,75-28,Leaf,,,,,0.0146530261,318.590912,
75,29,75-29,Leaf,,,,,0.0260779727,315.107819,
75,30,75-30,Leaf,,,,,0.014727178,54.6411896,
76,0,76-0,f0,-0.553384721,76-1,76-2,76-2,384.328735,10922.8398,
76,1,76-1,f0,-1.2815516,76-3,76-4,76-4,96.8219604,2061.26221,
76,2,76-2,f0,0.9153651,76-5,76-6,76-6,237.106842,8861.57715,
76,3,76-3,f1,8.78333378,76-7,76-8,76-8,12.5973511,516.407715,
76,4,76-4,f0,-0.877896309,76-9,76-10,76-10,8.33724976,1544.85449,
76,5,76-5,f0,0.100433722,76-11,76-12,76-12,50.0738068,7677.58154,
76,6,76-6,f0,1.55477357,76-13,76-14,76-14,47.5816956,1183.99585,
76,7,76-7,f0,-1.55477357,76-15,76-16,76-16,8.01010132,463.181641,
76,8,76-8,f1,9.13333321,76-17,76-18,76-18,1.64915037,53.2260399,
76,9,76-9,f1,10.7833338,76-19,76-20,76-20,3.35816193,627.497131,
76,10,76-10,f1,13.6333332,76-21,76-22,76-22,3.67634201,917.357361,
76,11,76-11,f1,5.98333311,76-23,76-24,76-24,7.13972569,4079.91284,
76,12,76-12,f1,12.1499996,76-25,76-26,76-26,11.6879883,3597.66846,
76,13,76-13,f1,13.583333,76-27,76-28,76-28,5.36025238,821.641541,
76,14,76-14,f3,0.0199999996,76-29,76-30,76-30,7.65132141,362.35434,
76,15,76-15,Leaf,,,,,-0.0277307853,275.209076,
76,16,76-16,Leaf,,,,,-0.0193916019,187.97258,
76,17,76-17,Leaf,,,,,0.00299961399,8.56734657,
76,18,76-18,Leaf,,,,,-0.0110427383,44.6586914,
76,19,76-19,Leaf,,,,,-0.011321445,545.470886,
76,20,76-20,Leaf,,,,,-0.00472970121,82.0262222,
76,21,76-21,Leaf,,,,,-0.0063366266,883.798218,
76,22,76-22,Leaf,,,,,0.00369078526,33.5591507,
76,23,76-23,Leaf,,,,,-0.00411085645,716.020325,
76,24,76-24,Leaf,,,,,-0.000813179417,3363.89258,
76,25,76-25,Leaf,,,,,0.00459053461,2505.30493,
76,26,76-26,Leaf,,,,,0.000871156109,1092.36353,
76,27,76-27,Leaf,,,,,0.0115154041,814.419739,
76,28,76-28,Leaf,,,,,-0.0131482687,7.22181225,
76,29,76-29,Leaf,,,,,0.0258090477,326.382538,
76,30,76-30,Leaf,,,,,0.0108059393,35.9717865,
77,0,77-0,f0,-0.706302583,77-1,77-2,77-2,359.740356,10899.7559,
77,1,77-1,f0,-1.40507162,77-3,77-4,77-4,68.6436768,1545.90869,
77,2,77-2,f0,1.22652817,77-5,77-6,77-6,226.730743,9353.84766,
77,3,77-3,f1,9.83333302,77-7,77-8,77-8,9.146698,391.415558,
77,4,77-4,f0,-0.994457901,77-9,77-10,77-10,7.53461456,1154.49304,
77,5,77-5,f0,0.0501535833,77-11,77-12,77-12,73.4714432,8685.3457,
77,6,77-6,f0,1.88079357,77-13,77-14,77-14,20.634613,668.501709,
77,7,77-7,f0,-1.64485359,77-15,77-16,77-16,5.97518921,373.898956,
77,8,77-8,f1,10.5500002,77-17,77-18,77-18,5.45189476,17.5166035,
77,9,77-9,f1,8.83333302,77-19,77-20,77-20,6.77908325,518.370483,
77,10,77-10,f1,2.5666666,77-21,77-22,77-22,5.07006454,636.12262,
77,11,77-11,f1,5.98333311,77-23,77-24,77-24,13.0097904,4207.06689,
77,12,77-12,f0,0.643345416,77-25,77-26,77-26,21.0353317,4478.27881,
77,13,77-13,f0,1.55477357,77-27,77-28,77-28,3.90433502,466.162262,
77,14,77-14,f3,0.0199999996,77-29,77-30,77-30,6.26525879,202.339462,
77,15,77-15,Leaf,,,,,-0.0282735545,232.254639,
77,16,77-16,Leaf,,,,,-0.0200323369,141.644302,
77,17,77-17,Leaf,,,,,0.0175131653,6.43603516,
77,18,77-18,Leaf,,,,,-0.0151625974,11.0805683,
77,19,77-19,Leaf,,,,,-0.0142515013,398.794189,
77,20,77-20,Leaf,,,,,-0.00603506295,119.576279,
77,21,77-21,Leaf,,,,,-0.0164671633,51.2464333,
77,22,77-22,Leaf,,,,,-0.00665456709,584.876221,
77,23,77-23,Leaf,,,,,-0.00538300164,784.44458,
77,24,77-24,Leaf,,,,,-0.00110130792,3422.62231,
77,25,77-25,Leaf,,,,,0.00235818909,3255.2041,
77,26,77-26,Leaf,,,,,0.00697284006,1223.07471,
77,27,77-27,Leaf,,,,,0.0134861153,310.227051,
77,28,77-28,Leaf,,,,,0.0194851235,155.935196,
77,29,77-29,Leaf,,,,,0.0284335222,190.001312,
77,30,77-30,Leaf,,,,,0.00583149353,12.3381548,
78,0,78-0,f0,-0.100433722,78-1,78-2,78-2,342.979645,10919.6094,
78,1,78-1,f0,-1.2815516,78-3,78-4,78-4,165.7276,4587.33984,
78,2,78-2,f0,1.22652817,78-5,78-6,78-6,178.511612,6332.26953,
78,3,78-3,f1,8.46666622,78-7,78-8,78-8,15.9821777,501.982574,
78,4,78-4,f0,-0.612812996,78-9,78-10,78-10,27.44384,4085.35718,
78,5,78-5,f0,0.553384721,78-11,78-12,78-12,37.1961937,5675.02686,
78,6,78-6,f0,1.75068605,78-13,78-14,78-14,20.1452026,657.242432,
78,7,78-7,f0,-1.75068605,78-15,78-16,78-16,8.31582642,444.064362,
78,8,78-8,f0,-1.40507162,78-17,78-18,78-18,1.58093739,57.9182358,
78,9,78-9,f2,-0.0299999993,78-19,78-20,78-20,6.43190002,1317.82959,
78,10,78-10,f1,9.66666698,78-21,78-22,78-22,5.4690876,2767.52759,
78,11,78-11,f2,0.0599999987,78-23,78-24,78-24,6.98933792,4130.09912,
78,12,78-12,f1,9.26666641,78-25,78-26,78-26,6.08071136,1544.92773,
78,13,78-13,f2,0.0799999982,78-27,78-28,78-28,4.84397888,410.13858,
78,14,78-14,f3,0.0199999996,78-29,78-30,78-30,3.6917572,247.103851,
78,15,78-15,Leaf,,,,,-0.0294963699,185.895493,
78,16,78-16,Leaf,,,,,-0.0208676346,258.168854,
78,17,78-17,Leaf,,,,,-0.0121541033,30.8696651,
78,18,78-18,Leaf,,,,,-0.00219420623,27.0485725,
78,19,78-19,Leaf,,,,,0.00461084442,35.3030739,
78,20,78-20,Leaf,,,,,-0.00826308317,1282.52649,
78,21,78-21,Leaf,,,,,-0.00109389564,1169.07288,
78,22,78-22,Leaf,,,,,-0.00379474089,1598.45483,
78,23,78-23,Leaf,,,,,0.00135054078,4081.10278,
78,24,78-24,Leaf,,,,,-0.00993607193,48.9965248,
78,25,78-25,Leaf,,,,,0.00809264835,983.709595,
78,26,78-26,Leaf,,,,,0.00416634511,561.21814,
78,27,78-27,Leaf,,,,,0.0154431146,404.752563,
78,28,78-28,Leaf,,,,,-0.0115645472,5.38602448,
78,29,78-29,Leaf,,,,,0.027087776,227.683151,
