complexity,loss,equation,score,sympy_format,lambda_format
1,0.24999762,0.50118077,0.0,0.501180770000000,PySRFunction(X=>0.501180770000000)
5,0.17231648,(x0 * 0.2827335) + 0.5032812,0.09302965293245948,x0*0.2827335 + 0.5032812,PySRFunction(X=>x0*0.2827335 + 0.5032812)
7,0.17224848,(x2 - (x0 - -1.7724615)) * -0.2824528,0.0001973503077120382,(x2 - (x0 - 1*(-1.7724615)))*(-0.2824528),PySRFunction(X=>(x2 - (x0 - 1*(-1.7724615)))*(-0.2824528))
9,0.17224774,(x2 - ((x0 - -1.7882357) * 0.75553167)) * -0.37181735,2.148064208093738e-06,(x2 - 0.75553167*(x0 - 1*(-1.7882357)))*(-0.37181735),PySRFunction(X=>(x2 - 0.75553167*(x0 - 1*(-1.7882357)))*(-0.37181735))
13,0.16973823,0.5032803 - ((-0.53474194 - (x5 * (-0.604748 - (x2 * -0.7008895)))) * x0),0.003669090642265948,0.5032803 - x0*(-x5*(-(-0.7008895)*x2 - 0.604748) - 0.53474194),PySRFunction(X=>0.5032803 - x0*(-x5*(-(-0.7008895)*x2 - 0.604748) - 0.53474194))
